序号,单词,音标,基本释义,详细释义,英文释义,例句,例句释义
5950,gradual,[?gr?d?u?l],渐进,adj.逐渐的，逐步的,happening slowly over a long period; not sudden,The graph shows a gradual increase.,图表显示出了逐步增长。
5951,nowadays,[?na??de?z],如今,adv.现在，当今,"at the present time, in contrast with the past","Nowadays, phones are more advanced than this brick.",现今，人们用的手机比这种板砖大哥大先进多了。
5952,displace,[d?s?ple?s],取代,v.取代，替代，迫使（某人）离开家园，使离开原位,to take the place of somebody/something; to move something from its usual position,The man feels depressed after being displaced in his job by a machine.,在他的工作被机器取代后，这个男人感到十分难过。
5953,discriminate,[d??skr?m?ne?t],辨析,v. 歧视；区别，辨别,to treat one person or group worse/better than another in an unfair way,Discriminating against others is a bad behavior.,歧视他人是不好的行为。
5954,trademark,[?tre?dmɑ:k],商标,v.登记…作为商标；  n.特征,to register something as a trademark,This is the trademark of a popular APP.,这是一款很火的应用的商标。
5955,solitary,[?s?l?tri],孤,adj.孤独的，单独的，隐居的,"done alone; without other people; (of a person or an animal) enjoying being alone; frequently spending time alone; (of a person, thing or place) alone, with no other people or things around; (especially in negative sentences and questions) only one",A solitary man is standing in the cold wind alone.,一个孤独的男人正站在寒风之中。
5956,catalogue,[?k?t?l?g],目录,n. 目录,"a complete list of things that you can look at, buy, or use, for example in a library or at an art show",The girl got information about the clothes from the catalogue.,小女孩能从产品目录中得到更多关于衣服的信息。
5957,documentation,[?d?kjumen?te??n],文档,文档,,,
5958,homosexual,[?h??m??sek?u?l],同性恋,n. 同性恋；  adj. 同性恋的,"a person, usually a man, who is sexually attracted to people of the same sex",Homosexuals only love members of the same sex.,同性恋者只爱同性。
5959,multicultural,[?m?lti?k?lt??r?l],多元文化,adj.多种文化的,,People of all backgrounds are welcome in our multicultural society.,我们的多文化社会欢迎拥有各种背景的人。
5960,casually,['k????l?],随便,随便,,,
5961,polar,[?p??l?(r)],极性,adj.南极的，北极的；极地的；截然对立的，正好相反的,"connected with, or near the North or South Pole",Penguins and polar bears live in polar regions.,企鹅和北极熊住在极地地区。
5962,puppy,[?p?pi],小狗,n. 小狗，幼犬,a young dog,The two puppies are good friends.,这两只小狗是好朋友。
5963,prohibition,[?pr????b??n],禁止,n. 禁止,a law forbidding the sale of alcoholic beverages,The company strictly enforces its prohibition of smoking in the office.,这家公司严格执行办公区禁烟的规定。
5964,coconut,[?k??k?n?t],椰子,n. 椰子，椰肉,the large nut of a tropical tree called a coconut palm. It grows inside a hard shell and contains a soft white substance that can be eaten and juice that can be drunk,There are many other uses for coconuts other than food.,除了食品之外，椰子还有很多其他用途。
5965,median,[?mi:di?n],中位数,adj. 中值的；中央的；  n. 中值，中位数,having a value in the middle of a series of values,"The median value is the middle number in a sequence, or the average of middle two.",中间值是按顺序排列的一组数值中间的那个值，或者中间两个数值的平均数。
5966,remainder,[r??me?nd?(r)],余,n. 剩余物，残留部分；  v. 减价出售，削价处理,"the remaining people, things or time",I quickly ate the remainder of my ice cream.,我很快把冰激凌余下的部分也吃完了。
5967,badge,[b?d?],徽章,n.徽章；象征；标记；  vt.给……做标记；授予……徽章,"a small piece of metal or plastic, with a design or words on it, that a person wears to show that they belong to an organization, support something, have achieved something, have a particular rank, etc.","The boy received a badge for his good work, and pinned it on his coat.",小男孩因为出色的成绩得到了奖章，并将它别在了自己的外套上。
5968,navy,[?ne?vi],海军,n. 海军,"the part of a country’s armed forces that fights at sea, and the ships that it uses",I joined the navy to be at sea.,我加入海军是为了出海。
5969,pending,[?pend??],待办的,adj.待定的，即将发生或来临的；  prep.直到，等待……的时候，在……期间,waiting to be decided or settled,The decision of who will get the job is still pending.,谁将得到这份工作还是待定的。
5970,dislike,[d?s?la?k],不喜欢,v. 不喜欢，厌恶；  n. 不喜欢，厌恶,to not like somebody/something,She really dislikes vegetables.,她真的不喜欢蔬菜。
5971,angler,[???gl?(r)],钓鱼者,钓鱼者,,,
5972,void,[v??d],空白,n.空间；  adj.缺乏的；空的，没有的；【律】无效的；  v.使无效，把…作废， 宣布…作废；腾出，清理,a large empty space,"From the moon, space looks like an endless black void.",从月亮上看，宇宙就像一个黑暗的空洞。
5973,slump,[sl?mp],暴跌,v. 突然倒下；  n. 经济萧条时期,to sit or fall down heavily,He felt dizzy and slumped into the sofa.,他感到头晕，突然倒在了沙发上。
5974,seafood,[?si:fu:d],海鲜,海鲜,,,
5975,hum,[h?m],哼,v.发出嗡嗡声，哼（歌曲）；  n.轰鸣声，嗡嗡声,to make a low continuous sound,I can't sleep when the fly is humming around my ear.,苍蝇在我耳朵旁嗡嗡直叫，害得我睡不着。
5976,theologian,[?θi:??l??d??n],神学家,神学家,,,
5977,dating,[de?t??],约会,adj.约会的，相亲的,Dating agencies or services are for people who are trying to find a girlfriend or boyfriend.,Dating apps automatically recommend people nearby to you.,约会软件会自动给你推荐附近的人。
5978,inaudible,[?n??:d?bl],听不清,听不清,,,
5979,synthetic,[s?n?θet?k],合成的,adj. 合成的，人造的；  n. 合成物,artificial; made by combining chemical substances rather than being produced naturally by plants or animals,These fibers are synthetic.,这些衣服是人造纤维布制成的。
5980,paradise,[?p?r?da?s],天堂,n. 天国,(in some religions) a perfect place where people are said to go when they die,The area is a birdwatcher's paradise.,这一地区是鸟类观察者的乐园。
5981,granite,[?gr?n?t],花岗岩,花岗岩,,,
5982,battered,[?b?t?d],受虐,受虐,,,
5983,syrup,[?s?r?p],糖浆,糖浆,,,
5984,buying,['ba???],购买,购买,,,
5985,mimic,[?m?m?k],模仿,v. 模仿，戏弄；  n. 模仿者,"to copy the way somebody speaks, moves, behaves, etc., especially in order to make other people laugh; to look or behave like something else",The panda can perfectly mimic Jin's expression.,这只熊猫完美的模仿了金馆长的表情。
5986,restrain,[r??stre?n],抑制,v. 抑制（愤怒等），控制,"to stop somebody/something from doing something, especially by using physical force; to stop yourself from feeling an emotion or doing something that you would like to do",I must restrain my anger because he is the boss.,我必须抑制我的愤怒，因为他是老板。
5987,Broadway,[?br?:dwe?],百老汇,百老汇,,,
5988,premiere,[?premie?(r)],首映,首映,,,
5989,desktop,[?deskt?p],桌面,n. 桌面；台式机,the top of a desk; a screen on a computer which shows the icons of the programs that can be used,The menu bar is one of the key features of a computer's desktop.,菜单栏是计算机桌面的主要功能之一。
5990,erode,[??r??d],侵蚀,v.腐蚀，侵蚀,"to gradually destroy the surface of something through the action of wind, rain, etc.; to be gradually destroyed in this way",The statue has been steadily eroded by acid rain and lost its face.,这座雕像已被酸雨逐渐侵蚀，失去了它的脸。
5991,beverage,[?bev?r?d?],饮料,n.饮料,any type of drink except water,We have a selection of different beverages: what would you like to drink?,我们有不同的饮料可供选择，你想喝点什么？
5992,pest,[pest],害虫,n. 害虫；讨厌的人（或东西）,"an insect or animal that destroys plants, food, etc.",Pests are those irritating and harmful insects.,害虫就是那些讨厌又有害的昆虫。
5993,qualification,[?kw?l?f??ke??n],资格,n.资格证明；获得资格，合格,a skill or type of experience that you need for a particular job or activity,I'm delighted that I received this qualification from my university.,拿到了大学毕业证，我很开心。
5994,viewing,['vju:??],观看,观看,,,
5995,interim,[??nt?r?m],临时,adj.暂时的；  n.中间时期，过渡时期,intended to last for only a short time until somebody/something more permanent is found,The government provided us with interim housing until our new houses are ready.,在我们的新家准备好之前，政府为我们提供了临时住所。
5996,wholly,[?h??lli],完全,完全,,,
5997,paperwork,[?pe?p?w?:k],文书工作,n.日常文书工作,the official documents that are needed for something to happen or be done,He is busy with handling much paperwork in the company.,他忙于处理公司的各种文书工作。
5998,oppression,[?'pre?n],压迫,n.压迫,"cruel and unfair treatment of people, especially by not giving them the same freedom, rights, etc. as other people",They are fed up with the king's oppression.,他们受够了国王的压迫。
5999,hybrid,[?ha?br?d],杂交种,n.杂种；混血儿；混合物；  adj.混合的；杂种的,"an animal or plant that has parents of different species or varieties; something that is the product of mixing two or more different things; a vehicle that uses two different types of power, especially petrol/gas or diesel and electricity",A mule is a hybrid between a horse and a donkey.,骡子是马和驴的杂交后代。
6000,illegally,[?'li:ɡ?l?],非法,非法,,,
6001,lodge,[l?d?],小屋,n.小屋；  v.存放，保管,a house or hotel in the country or mountains for people who are doing some outdoor activity,We are going to stay at my parents' lodge in the mountains.,我们要住在我父母的山间小屋里。
6002,pierce,[p??s],刺穿,v. 穿（孔）,"to make a small hole in something, or to go through something, with a sharp object",He pierced his ears.,他穿了耳洞。
6003,ammunition,[??mju?n??n],弹药,n. 弹药,"a supply of bullets, etc. to be fired from guns",The soldier is well equipped with ammunition.,这个士兵装备好了弹药。
6004,indulge,[?n?d?ld?],放纵,v. 沉迷于；放纵；满足,"to allow yourself to have or do something that you like, especially something that is considered bad for you",The woman indulges in her guilty pleasure by eating too many sweet snacks.,这个女人沉迷于吃太多甜食的罪恶快感中。
6005,commuter,[k??mju:t?(r)],通勤者,n.通勤者,"a person who travels into a city to work each day, usually from quite far away",The commuter takes a bus and the subway to work and come back every day.,这个通勤者每天搭乘公交和地铁上下班。
6006,suspected,[s?s'pekt?d],怀疑,怀疑,,,
6007,steroids,['st??r??dz],类固醇,类固醇,,,
6008,flick,[fl?k],轻弹,轻弹,,,
6009,answering,['ɑ:ns?r??],回答,回答,,,
6010,prairie,[?pre?ri],草原,n. 大草原，（尤指）北美大草原,"a flat wide area of land in N America and Canada, without many trees and originally covered with grass",Many cows eat grass on the prairie.,许多奶牛在大草原上吃草。
6011,atmospheric,[??tm?s?fer?k],大气,adj. 大气的，大气层的,related to the earth’s atmosphere,Atmospheric layers of gas surround the Earth and allow us to breathe!,大气层包裹着地球，让我们能够呼吸。
6012,pear,[pe?(r)],梨,n. 梨子，梨树,a yellow or green fruit that is narrow at the top and wide at the bottom,The pears are yellow and ripe.,梨子黄了、成熟了。
6013,serial,[?s??ri?l],系列,n.序列；  adj.连续的，重复的,,The serial number of this product is many zeroes.,这件商品的序列号是许多个零。
6014,investigative,[?n?vest?g?t?v],调查,调查,,,
6015,reflective,[r??flekt?v],反光的,反光的,,,
6016,boomer,[?bu:m?(r)],生育高峰中出生的人,生育高峰中出生的人,,,
6017,finished,[?f?n??t],完成的,完成的,,,
6018,landfill,[?l?ndf?l],垃圾填埋场,n. 垃圾填埋场,a system in which waste materials are buried under the ground,The landfill is full of rubbish.,这个垃圾填埋场里堆满了垃圾。
6019,fund-raiser,[?f?nd?re?z?],筹款活动,筹款活动,,,
6020,surpass,[s??pɑ:s],超过,v. 胜过；超出,to do or be better than somebody/something,The turtle surpassed the rabbit in the running race.,乌龟在跑步比赛中超过了兔子。
6021,day-to-day,[?de?t??de?],日复一日,日复一日,,,
6022,infinite,[??nf?n?t],无穷,adj. 无限的，无穷的；  n. 无穷，无限大,without limits; without end,We live in an infinite universe that has no boundaries.,我们生活在一个无边无际的宇宙里。
6023,commute,[k??mju:t],通勤,v. 经常乘车往返于两地之间；  n. 在两地之间乘车往返；  vt. 减免,"to travel regularly by bus, train, car, etc. between your place of work and your home",I commute from my home to the office by bus every day.,我每天乘公交车往返于家和办公室。
6024,gossip,[?g?s?p],八卦,n.流言蜚语；爱传流言的人；  v.闲聊，传播流言蜚语,"informal talk or stories about other people’s private lives, that may be unkind or not true; a conversation about other people and their private lives; a person who enjoys talking about other people’s private lives",Gossip?spread?fast?from?one?person?to?another.,流言蜚语在人们之间传得很快。
6025,muscular,[?m?skj?l?(r)],肌肉,adj. 肌肉发达的；肌肉的；强有力的,having large strong muscles,The muscular man is lifting weights in the gym.,这个肌肉发达的男人正在健身房里举重。
6026,contradict,[?k?ntr??d?kt],顶撞,v. 与……发生矛盾，与……抵触，与……对立,"to say that something that somebody else has said is wrong, and that the opposite is true; (of statements or pieces of evidence) to be so different from each other that one of them must be wrong",The signs contradict each other. Which way should we go?,这些标志互相矛盾，我们应该走哪条路呢？
6027,discrepancy,[d?s?krep?nsi],差异,n.不一致，差异，不符,a difference between two or more things that should be the same,There is a discrepancy between the online picture and the actual cake.,蛋糕的网络图片和实物存在差异。
6028,bilateral,[?ba??l?t?r?l],双边,adj. 双边的，有两面的,involving two groups of people or two countries,The two countries entered into a bilateral agreement.,这两个国家达成了一项双边协定。
6029,intermediate,[??nt??mi:di?t],中间的,adj.中间的；  n.媒介；  v.调解，干涉,"located between two places, things, states, etc.",The middle object is intermediate in size.,中间的物品尺寸适中。
6030,temporal,[?temp?r?l],颞,adj.现世的，世俗的,"connected with the real physical world, not spiritual matters",The monk takes much delight in temporal pleasures.,这个和尚过着享乐的世俗生活。
6031,lunar,[?lu:n?(r)],月球,adj.阴历的，月亮的，月球的,connected with the moon,One bite of the dog results in the lunar eclipse.,狗狗咬掉了一块月亮，这才产生了月蚀。（天狗食月）
6032,sincere,[s?n?s??(r)],真诚,adj. 真诚的，诚恳的,"genuine or real :not false, fake, or pretended",He showed me his love with a sincere expression.,他表情诚恳地对我表达了爱意。
6033,pluck,[pl?k],采摘,采摘,,,
6034,dice,[da?s],骰子,骰子,,,
6035,demise,[d??ma?z],灭亡,灭亡,,,
6036,patio,[?p?ti??],露台,n. 平台,"a flat area of ground that is covered with a hard material (such as bricks or concrete), is usually behind a house, and is used for sitting and relaxing",The patio allows you to have a great view of the sea.,露台上，你可以看到漂亮的海景。
6037,premature,[?prem?t??(r)],早产,adj. 早产的，过早的，早熟的；  n. 早产儿,(of a birth or a baby) happening or being born before the normal length of pregnancy has been completed,The premature baby was so small that it was put into an incubator.,这个早产的婴儿太小了，被放到了保温箱里。
6038,utter,[??t?(r)],说出,vt.说，发出；  adj.无条件的,to make a sound with your voice; to say something,"The baby utters its first words, ""Mama!""",宝宝说出了他的第一句话：“妈妈！”
6039,roommate,['r?mme?t],室友,n.室友,,"He is playing the guitar, and his roommate is reading.",他正在弹吉他，他的室友正在看书。
6040,chant,[t?ɑ:nt],呗,v.反复地说；吟诵；  n.圣歌，赞美诗；吟诵声；重复的话语,to sing or shout the same words or phrases many times,The fans are chanting their favorite song with the singer on the stage.,粉丝们跟着台上的歌手一起吟唱他们最爱的歌。
6041,tout,[ta?t],吹捧,吹捧,,,
6042,overwhelmingly,[???v?'welm??l?],压倒性的,压倒性的,,,
6043,crater,[?kre?t?(r)],火山口,n. 弹坑；火山口；  v. 在…上形成坑,a large hole in the ground caused by the explosion of a bomb or by something large hitting it,This crater was caused by a rock falling from the sky.,这个陨石坑是由一颗天上落下的陨石造成的。
6044,enrich,[?n?r?t?],丰富,vt.使丰富,"to improve the quality of something, often by adding something to it",Smart phones provide entertainments and enrich our lives.,智能手机在提供了娱乐节目的同时，也丰富了我们的生活。
6045,exploitation,[?ekspl???te??n],开发,开发,,,
6046,submarine,[?s?bm??ri:n],潜艇,n. 潜水艇；  adj. 水底的，海底的,a ship that can travel underwater,Submarines can travel underwater.,潜水艇可以在水下航行。
6047,ditch,[d?t?],沟,n. 沟，沟渠；  v. 迫降海上；  vt. 丢弃；旷课,"a long channel dug at the side of a field or road, to hold or take away water",There is a ditch between the two fields.,两块田之间有一条沟渠。
6048,clown,[kla?n],小丑,n.小丑,an entertainer who wears funny clothes and a large red nose and does silly things to make people laugh; a person that you disapprove of because they act in a stupid way,The clown has a red nose.,这个小丑有个红鼻子。
6049,comfortably,[?k?mft?bli],舒适,舒适,,,
6050,loaf,[l??f],面包,n. 一条（面包）；  v. 虚度光阴,an amount of bread that has been shaped and baked in one piece,I will just eat a loaf of bread for lunch.,午餐我只会吃一个面包。
6051,twilight,[?twa?la?t],暮,n.黄昏，薄暮,the faint light or the period of time at the end of the day after the sun has gone down,"The field looks beautiful at twilight, as the sun goes down.",夕阳西沉时，这片原野在暮光之中看上去非常美。
6052,secondly,[?sek?ndli],第二,adv. 第二，其次,in the second place,"Secondly, we should save time.",第二，我们应该节约时间。
6053,wrestling,[?resl??],摔角,n. 摔跤,"a sport in which two people try to throw, force, or pin each other to the ground",My school has a very good wrestling team.,我的学校有非常好的摔跤队。
6054,dispose,[d??sp??z],处置,vt.处理，处置,to make somebody behave in a particular way,She is disposing of the unwanted vegetables into the bin.,她正在处理不需要的蔬菜，把它们扔进垃圾箱。
6055,cushion,[?k??n],软垫,n. 坐垫；  v. 减轻，缓和,"a cloth bag filled with soft material or feathers that is used, for example, to make a seat more comfortable",The crown was on the red cushion! Someone must have stolen it!,皇冠明明放在红色垫子上的！一定是有人把它偷走了！
6056,imaging,[??m?d???],成像,n.成像,the ability to form mental images of things or events,Imaging technology is vital in modern medical practice.,成像技术在现代医学实践中非常重要。
6057,princess,[?pr?n?ses],公主,n. 公主；王妃,"a female member of a royal family who is not a queen, especially the daughter or granddaughter of the king or queen",The princess had a pet pony.,公主有一匹宠物马。
6058,comprehend,[?k?mpr??hend],理解,v. 了解；领会；包含；由…组成,to understand something fully,I like my teacher because she makes difficult ideas easier to comprehend.,我喜欢我的老师，因为她把复杂的概念变得简单易懂。
6059,vaguely,[?ve?gli],依稀,依稀,,,
6060,one-time,[?w?n?ta?m],一度,一度,,,
6061,squirrel,[?skw?r?l],松鼠,n. 松鼠；  v. 储存,"a small animal with a long thick tail and red, grey or black fur. Squirrels eat nuts and live in trees.",This squirrel is trying to remember where he hid the nuts.,这只松鼠正试着回想他把坚果藏哪儿了。
6062,adolescence,[??d??lesns],青春期,n.青春期，青春,the time in a person’s life when he or she develops from a child into an adult,He began to shave after hitting adolescence.,进入青春期后，他开始刮胡子了。
6063,unlock,[??n?l?k],开锁,v. 开启；解开,"to undo the lock of a door, window, etc., using a key",This key will unlock the door.,这把钥匙可以打开这扇门。
6064,bleeding,[?bli:d??],流血的,流血的,,,
6065,royalty,[?r???lti],版税,n.皇家，王族,one or more members of a royal family,Crowns are a symbol of royalty.,皇冠是皇家的象征。
6066,salon,[?s?l?n],沙龙,n. 客厅，美容美发店，文艺沙龙,a business that gives customers beauty treatments (such as haircuts),She often goes to that salon for her haircut.,她经常去那家美发店理发。
6067,destine,['dest?n],注定,注定,,,
6068,descriptive,[d??skr?pt?v],描述性,adj. 描述的，叙述的,serving to describe or inform or characterized by description,He gave me a descriptive account of his sister.,他向我描述了他的姐姐。
6069,responsive,[r??sp?ns?v],响应迅速,adj. 反应积极的，反应敏捷的,reacting quickly and in a positive way,Children are always the most responsive members of the audience.,孩子总是观众席里反应最积极的人。
6070,loosely,[?lu:sli],松散,adv. 宽松地，松散地,in a way that is not firm or tight; in a way that is not exact,The ripped jeans fit loosely around his waist.,破洞牛仔裤松松地围在他的腰上。
6071,superb,[su:?p?:b],高超,adj. 极好的；壮丽的,excellent; of very good quality,Her piano performance is superb.,她的钢琴表演很精彩。
6072,evacuate,[??v?kjue?t],撤离,v.疏散,to move people from a place of danger to a safer place,The teacher is evacuating students from the burning building.,老师正在疏散起火大楼里的学生。
6073,understandable,[??nd??st?nd?bl],可以理解,可以理解,,,
6074,squash,[skw??],壁球,壁球,,,
6075,postcard,[?p??stkɑ:d],明信片,n.明信片,"a card used for sending messages by post without an envelope, especially one that has a picture on one side",My sister always sends me a postcard from whatever new country she visits.,我姐姐每新到一个国家都会给我寄明信片。
6076,modified,['m?d?fa?d],修改的,修改的,,,
6077,elusive,[i?lu:s?v],难以捉摸,难以捉摸,,,
6078,hardship,[?hɑ:d??p],艰辛,n.艰难，困苦,"a situation that is difficult and unpleasant because you do not have enough money, food, clothes, etc.",He's currently suffering severe financial hardship.,他当下正面临着严重的经济困难。
6079,relocate,[?ri:l???ke?t],搬迁,搬迁,,,
6080,affiliate,[??f?lie?t],会员,n.分公司，附属机构；  v.使隶属于；接纳；追溯；发生联系,"a person, organization, or establishment associated with another as a subordinate, subsidiary, or member",This company has established many affiliates over the years.,这个集团这几年建立了许多分公司。
6081,claw,[kl?:],爪,n.爪；钳；  v.抓，挖；（艰难地）挪,"one of the sharp curved nails on the end of an animal’s or a bird’s foot; a long, sharp curved part of the body of some types of shellfish, used for catching and holding things; part of a tool or machine, like a claw, used for holding, pulling or lifting things",The cat has sharp claws.,这只猫的爪子很锋利。
6082,pity,[?p?ti],遗憾,n.憾事；  v.（觉得）可怜，惋惜,a feeling of sympathy and sadness caused by the suffering and troubles of others,What a pity! The ice cream dropped before I ate it.,真遗憾！我还没来得及吃，冰激凌就掉在地上了。
6083,incomplete,[??nk?m?pli:t],不完整,adj. 未完成的，未结束的,not having everything that it should have; not finished or complete,The building is still incomplete? How slow!,这栋楼还没有建好？龟速啊！
6084,instability,[??nst??b?l?ti],不稳定,n. 不稳定（性）,the quality of a situation in which things are likely to change or fail suddenly; a mental condition in which somebody’s behaviour is likely to change suddenly,"The fox weeps one moment, and laughs the next; he seems to have emotional instability.",这只狐狸一会儿哭一会儿笑，显得情绪不稳定。
6085,dodge,[d?d?],躲闪,v. 躲避，避开；  n. 躲闪，躲避；  v. 回避，规避,to move quickly and suddenly to one side in order to avoid somebody/something,"Wow, look at him dodge all those bullets!",哇！你看他躲过了所有的子弹！
6086,unwanted,[??n?w?nt?d],不需要的,不需要的,,,
6087,bureaucrat,[?bj??r?kr?t],官僚,n.官僚，官僚主义者,"an official working in an organization or a government department, especially one who follows the rules of the department too strictly",The cat's request had to go through so much red tape designed by the bureaucrats.,这只猫的请求不得不经过官僚们规定的烦琐手续。
6088,projected,[pr?'d?ekt?d],投影,投影,,,
6089,skepticism,['skept?s?z?m],怀疑论,n.怀疑态度,an attitude of doubting the truth of something (such as a claim or statement),My skepticism of other people's motives has almost always been well-founded!,我对他人动机的怀疑基本都是有依据的！
6090,marvelous,['mɑ:v?l?s],奇妙,adj. 叹为观止的，令人惊奇的；非凡的,extremely good; wonderful,"""It is the most marvelous fireworks show!"" the girl exclaimed.",“这是最叹为观止的烟花表演！”这个女孩惊叹道。
6091,cater,[?ke?t?(r)],迎合,v.供应伙食；为（集会、婚礼等）承办酒席,to provide food and drinks for a social event,We hired a fancy restaurant to cater for our party.,我们雇了一家很棒的饭店给我们的派对供应伙食。
6092,laborer,['le?b?r?],劳动者,n. 工人；劳动者,a person who does hard physical work for money,The laborer looks very confident.,这位工人看起来很自信。
6093,continuously,[k?n't?nj??sl?],连续,连续,,,
6094,reliance,[r??la??ns],依赖,n.信赖，依靠；信赖的人或物,"the state of needing somebody/something in order to survive, be successful, etc.; the fact of being able to rely on somebody/something",Babies have a significant reliance on their parents.,婴儿十分依赖他们的父母。
6095,immunity,[??mju:n?ti],免疫,n.免疫力；免除，豁免,the body’s ability to avoid or not be affected by infection and disease,The little boy has a strong immunity to viruses.,这个小男孩对病毒有很强的抵抗力。
6096,tornado,[t?:?ne?d??],龙卷风,n.龙卷风,a violent storm with very strong winds which move in a circle. There is often also a long cloud which is narrower at the bottom than the top.,The tornado destroyed the whole village.,龙卷风毁掉了整个村庄。
6097,chess,[t?es],棋,n.棋；国际象棋,"a game for two people played on a board marked with black and white squares on which each playing piece (representing a king, queen, castle, etc.) is moved according to special rules. The aim is to put the other player’s king in a position from which it cannot escape (= to checkmate it).",The girl is playing chess with her dad.,女孩正在和爸爸下棋。
6098,filing,[?fa?l??],备案,备案,,,
6099,Halloween,[?h?l???i:n],万圣节,n.万圣节前夕（指10月31日夜晚）,,"On Halloween, children dress up to play tricks.",万圣节前夕，孩子们都装扮好去捣蛋。
6100,buffalo,[?b?f?l??],水牛,n.水牛，野牛（产于北美）；水陆两用坦克,large shaggy-haired brown bison of North American plains,The buffaloes are grazing on the pasture.,水牛们正在牧场上吃草。
6101,camel,[?k?ml],骆驼,n.骆驼,"an animal with a long neck and one or two humps on its back, used in desert countries for riding on or for carrying goods",The camel is known as the ship of the desert.,骆驼被称作沙漠之舟。
6102,planetary,[?pl?n?tri],行星,行星,,,
6103,nucleus,[?nju:kli?s],核,n. 原子核，核心，细胞核,the central part of an atom that is made up of protons and neutrons,The nucleus is the center of the atom.,原子核就是原子的中心。
6104,heck,[hek],哎呀,哎呀,,,
6105,declining,[d?'kla?n??],下降,下降,,,
6106,blonde,[bl?nd],金发,adj. （头发）亚麻色的，金色的；  n. 金（浅）发女郎,(of hair) pale gold in colour; (of a person) having blonde hair,The model has long blonde hair.,这个模特有一头金色长发。
6107,conform,[k?n?f?:m],符合,vi.遵照，顺从；相一致；  adj.一致的,"to obey a rule, law, etc.",Even the donkeys conform to the traffic regulations!,就连驴子都遵守交通规则！
6108,Taliban,[],塔利班,塔利班,,,
6109,cuff,[k?f],袖口,袖口,,,
6110,worthwhile,[?w?:θ?wa?l],值得,adj.值得（花时间、精力）的，有意义的,"worth doing or getting :good enough, important enough, etc., to be worth spending time, effort, or money on",Studying English words with this app is definitely worthwhile!,用这个应用学英语单词绝对超值哦！
6111,brightly,['bra?tl?],明亮,明亮,,,
6112,shipment,[???pm?nt],运输,n. 装载的货物；装船；装运；装货量,a load of goods that are sent from one place to another,I'm waiting for the shipment coming from India.,我在等待从印度运来的货物。
6113,bud,[b?d],芽,n. 蓓蕾，芽,"a small lump that grows on a plant and from which a flower, leaf or stem develops; a flower or leaf that is not fully open; used to speak to a man you do not know","The flower has not bloomed yet, but I can see the bud.",这花虽然还没有开，但是我可以看到花蕾。
6114,sperm,[sp?:m],精子,精子,,,
6115,sedan,[s??d?n],轿车,轿车,,,
6116,accompanying,[?'k?mp?n???],随同,随同,,,
6117,certified,['s?:t??fa?d],经认证,经认证,,,
6118,admiration,[??dm??re??n],钦佩,n. 钦佩,a feeling of respect and liking for somebody/something,His superb carving skills filled me with admiration.,他精湛的雕刻技艺令我钦佩不已。
6119,apartheid,[??pɑ:ta?t],种族隔离,种族隔离,,,
6120,earring,[???r??],耳环,耳环,,,
6121,apparatus,[??p??re?t?s],仪器,n.装置，仪器；设备,a tool or piece of equipment used for specific activities,Various pieces of apparatus are required when doing an experiment. ,做实验时需要各式各样的仪器。
6122,withstand,[w?e?st?nd],经受,vt.忍受；抵挡,"to be strong enough not to be hurt or damaged by extreme conditions, the use of force, etc.",We all have to withstand our own pressures in life.,我们都不得不承受各自的生活压力。
6123,expel,[?k?spel],驱逐,v. 罚出，开除；排出；开除；驱逐,to officially make somebody leave a school or an organization,The referee expels a player from the game for not playing by the rules.,裁判将一名选手罚下场，因为他没有遵守比赛规则。
6124,extinction,[?k?st??k?n],灭绝,n.灭绝,"a situation in which a plant, an animal, a way of life, etc. stops existing",The extinction of this animal occurred around 66 million years ago.,这类动物的灭绝发生在大约6 600万年前。
6125,archaeological,[?ɑ:k??'l?d??kl],考古学,考古学,,,
6126,overview,[???v?vju:],概述,n. 综述，概观,a general description or an outline of something,This booklet provides an overview of the company.,这本书概括介绍了公司的情况。
6127,reluctance,[r?'l?kt?ns],不情愿,n. 不愿意，勉强,"the feeling of being unwilling to do something and hesitating before you do it, because you do not want to do it or because you are not sure that it is the right thing to do",I can see her reluctance clearly.,我能看出她明显不情愿。
6128,forgiveness,[f??g?vn?s],饶恕,饶恕,,,
6129,prevalent,[?prev?l?nt],流行,adj.普遍的，流行的,that exists or is very common at a particular time or in a particular place,It's prevalent to use this kind of mobile telephones in the 90s.,20世纪90年代很流行用这种手机。
6130,scarcely,[?ske?sli],几乎没有,adv.几乎不, by a small margin,His grandfather can scarcely hear his grandson speaking. ,他祖父听力不好，几乎听不到他孙子说的话。
6131,irrigation,[??r?'ɡe??n],灌溉,n. 灌溉,"supply water to (land or crops) to help growth, typically by means of channels",Irrigation helps provide grassland with water.,灌溉可以给草地补充水分。
6132,societal,[s??sa??tl],社会,社会,,,
6133,benign,[b??na?n],良性,adj.无害的；仁慈的，和善的；（病）良性的,(of people) kind and gentle; not hurting anybody,Responsible use of your smartphone is relatively benign.,合理使用手机对你的身体相对无害。
6134,lumber,[?l?mb?(r)],木材,v. 缓慢地移动；拖累，迫使担负；伐木；杂乱地堆积；隆隆地行进；  n. 木材；废旧家具，不用的大件物品；无用的杂物；隆隆声,"to move in a slow, heavy and awkward way",The old bus lumbered up the hill.,这辆旧公交车吃力地在坡上缓慢行进。
6135,extensively,[?k'stens?vl?],广泛,广泛,,,
